et_tdb,x,y,z,vx,vy,vz
649123269.1833705,0.8150706113067304,-0.1385606816379341,-0.0674962948285787,0.003183990223467,0.019102793974682,-0.0036458043053645
649166469.1833705,0.8166097582824576,-0.1290005151034553,-0.0693147838885408,0.0029725467289892,0.0191374566606293,-0.0036280746711235
649209669.1833303,0.8180431099990593,-0.119423640755896,-0.0711242925150931,0.002760815014879,0.0191696246945995,-0.0036098831326336
649252869.1833303,0.819370531089097,-0.1098313066709349,-0.0729245906059524,0.0025488300512428,0.0191992951756494,-0.0035912331061679
649296069.1833303,0.8205919036700375,-0.1002247622280448,-0.0747154497922099,0.0023366268055144,0.0192264657894382,-0.0035721281087014
649339269.18329,0.821707127339799,-0.0906052578173783,-0.0764966434883034,0.0021242402299926,0.0192511348074276,-0.003552571756386
649382469.18329,0.8227161191660783,-0.0809740445471331,-0.0782679469412139,0.0019117052494303,0.0192733010857641,-0.0035325677629778
649425669.18329,0.8236188136694892,-0.0713323739515539,-0.0800291372788651,0.0016990567486873,0.0192929640638472,-0.0035121199382175
649468869.1832497,0.8244151628005421,-0.0616814976997296,-0.0817799935577017,0.0014863295604551,0.019310123762584,-0.0034912321861661
649512069.1832497,0.8251051359105093,-0.0520226673053404,-0.0835202968094234,0.0012735584530624,0.0193247807823344,-0.0034699085034961
649555269.1832497,0.8256887197162135,-0.0423571338375092,-0.0852498300868556,0.0010607781183722,0.0193369363005489,-0.0034481529777416
649598469.1832095,0.826165918258789,-0.0326861476329098,-0.0869683785089337,0.0008480231597783,0.0193465920691034,-0.0034259697855073
649641669.1832095,0.8265367528564693,-0.0230109580092833,-0.0886757293047828,0.0006353280803107,0.0193537504113336,-0.0034033631906383
649684869.1832095,0.8268012620514565,-0.0133328129805117,-0.0903716718568724,0.0004227272708586,0.0193584142187733,-0.0033803375423539
649728069.1831694,0.8269595015509323,-0.0036529589733943,-0.0920559977432294,0.0002102549985203,0.0193605869476016,-0.0033568972733437
649771269.1831694,0.8270115441622767,0.0060273594537259,-0.0937285007786905,-2.0546049118864813e-06,0.0193602726148029,-0.0033330468978322
649814469.1831694,0.8269574797225677,0.0157068998903468,-0.0953889770551787,-0.0002141675543237,0.0193574757940444,-0.0033087910096089
649857669.1831694,0.8267974150224309,0.0253844223510597,-0.0970372249809871,-0.0004260500224987,0.0193522016112776,-0.0032841342800295
