orbit_id,mjd_tdb,x,y,z,vx,vy,vz
60232 (1999 VL148),59000.00080075155,-2.891639646280935,-3.258069731911811,0.2013268764900179,0.006690112981674867,-0.003909633607757431,0.0009619277100294006
60232 (1999 VL148),59000.50080075141,-2.8882932991247934,-3.2600230939778867,0.20180775038936538,0.006695275080108907,-0.003903813583092219,0.0009615677140619746
60232 (1999 VL148),59001.00080075127,-2.884944371764207,-3.261973544421277,0.202288444030708,0.006700433798256294,-0.00389798711668059,0.0009612066778713441
60232 (1999 VL148),59001.50080075113,-2.881592865891112,-3.263921080020602,0.20276895689373053,0.006705589128950906,-0.003892154206484444,0.0009608446006458863
60232 (1999 VL148),59002.00080075099,-2.878238783201025,-3.2658656975534566,0.20324928845771217,0.006710741065026475,-0.003886314850460023,0.0009604814815729118
60232 (1999 VL148),59002.500800750844,-2.8748821253930497,-3.267807393796416,0.2037294382015269,0.006715889599315508,-0.0038804690465578788,0.0009601173198387618
60232 (1999 VL148),59003.000800750706,-2.8715228941698694,-3.2697461655250257,0.20420940560363854,0.006721034724648307,-0.0038746167927229125,0.0009597521146288988
60232 (1999 VL148),59003.50080075056,-2.868161091237757,-3.2716820095138064,0.20468919014210685,0.006726176433852038,-0.00386875808689446,0.000959385865127981
60232 (1999 VL148),59004.000800750415,-2.86479671830657,-3.273614922536244,0.2051687912945821,0.00673131471974988,-0.003862892927006421,0.0009590185705199319
60232 (1999 VL148),59004.50080075027,-2.861429777089756,-3.2755449013647913,0.20564820853830645,0.006736449575160235,-0.0038570213109874207,0.0009586502299879963
60232 (1999 VL148),59005.000800750124,-2.858060269304356,-3.277471942770863,0.20612744135011307,0.006741580992896016,-0.003851143236761006,0.0009582808427147931
60232 (1999 VL148),59005.50080074998,-2.854688196671005,-3.279396043524836,0.206606489206427,0.006746708965763968,-0.003845258702245848,0.0009579104078823535
60232 (1999 VL148),59006.00080074983,-2.851313560913936,-3.281317200396045,0.2070853515832647,0.00675183348656406,-0.0038393677053559804,0.0009575389246721626
60232 (1999 VL148),59006.50080074969,-2.847936363760986,-3.2832354101527805,0.20756402795623252,0.006756954548088926,-0.0038334702440010362,0.0009571663922651879
60232 (1999 VL148),59007.000800749534,-2.8445566069435952,-3.2851506695622854,0.2080425178005274,0.006762072143123346,-0.003827566316086502,0.0009567928098419073
60232 (1999 VL148),59007.50080074939,-2.841174292196814,-3.2870629753907563,0.20852082059093546,0.006767186264443784,-0.003821655919513967,0.0009564181765823284
60232 (1999 VL148),59008.000800749236,-2.837789421259308,-3.2889723244033386,0.20899893580183315,0.006772296904817955,-0.0038157390521813854,0.0009560424916660079
60232 (1999 VL148),59008.50080074909,-2.83440199587336,-3.2908787133641266,0.20947686290718792,0.006777404057004428,-0.003809815711983333,0.000955665754272065
60232 (1999 VL148),59009.00080074894,-2.831012017784877,-3.292782139036159,0.2099546013805551,0.00678250771375228,-0.0038038858968112623,0.000955287963579194
60232 (1999 VL148),59009.500800748785,-2.827619488743392,-3.2946825981814225,0.21043215069508014,0.006787607867800755,-0.0037979496045537613,0.000954909118765671
60232 (1999 VL148),59010.00080074863,-2.824224410502072,-3.2965800875608458,0.21090951032349659,0.006792704511878981,-0.003792006833096795,0.000954529219009361
