et_tdb,x,y,z,vx,vy,vz
699278469.1853418,2.285230137989981,-2.2903330554000725,0.4474136009666992,0.0063963120963616,0.0080858005595121,-0.0005562662094812
699321669.1853418,2.28842586988444,-2.286287722806569,0.4471349919585254,0.0063866122784853,0.008095527899395,-0.0005581698117779
699364869.1853821,2.29161674706633,-2.2822375294196338,0.4468554311668976,0.0063768932477869,0.0081052437255357,-0.0005600733422151
699408069.1853821,2.2948027599317955,-2.2781824810076925,0.4465749186293693,0.0063671550145052,0.0081149479917238,-0.0005619767942994
699451269.1853821,2.297983898882134,-2.2741225833622747,0.4462934543867416,0.0063573975890147,0.0081246406517277,-0.000563880161525
699494469.1853821,2.3011601543238607,-2.2700578422980366,0.4460110384830734,0.006347620981826,0.0081343216592954,-0.0005657834373742
699537669.1853821,2.304331516668784,-2.2659882636527637,0.4457276709656848,0.0063378252035862,0.0081439909681544,-0.0005676866153169
699580869.1854224,2.3074979763340684,-2.261913853287382,0.4454433518851645,0.006328010265079,0.0081536485320125,-0.0005695896888111
699624069.1854224,2.310659523742305,-2.2578346170859698,0.4451580812953744,0.0063181761772249,0.0081632943045575,-0.0005714926513027
699667269.1854224,2.313816149321578,-2.2537505609557646,0.4448718592534564,0.0063083229510815,0.0081729282394583,-0.0005733954962257
699710469.1854224,2.316967843505536,-2.249661690827176,0.4445846858198392,0.0062984505978439,0.0081825502903645,-0.0005752982170021
699753669.1854224,2.32011459673346,-2.2455680126537927,0.4442965610582433,0.0062885591288448,0.0081921604109072,-0.0005772008070419
699796869.1854626,2.323256399450331,-2.241469532412392,0.4440074850356865,0.0062786485555547,0.0082017585546995,-0.0005791032597436
699840069.1854626,2.3263932421069,-2.2373662561029497,0.4437174578224908,0.0062687188895823,0.0082113446753361,-0.0005810055684936
699883269.1854626,2.3295251151597567,-2.2332581897486508,0.4434264794922885,0.0062587701426746,0.0082209187263943,-0.0005829077266668
699926469.1854626,2.3326520090713982,-2.229145339395892,0.4431345501220263,0.0062488023267174,0.0082304806614342,-0.0005848097276263
699969669.1854626,2.3357739143103013,-2.225027711114296,0.4428416697919726,0.0062388154537352,0.0082400304339988,-0.0005867115647235
700012869.1854626,2.3388908213509896,-2.220905310996718,0.4425478385857231,0.0062288095358917,0.0082495679976145,-0.0005886132312985
700056069.1855028,2.3420027206741003,-2.2167781451592536,0.442253056590206,0.0062187845854899,0.0082590933057913,-0.0005905147206795
700099269.1855028,2.34510960276646,-2.212646219741249,0.4419573238956888,0.0062087406149724,0.0082686063120234,-0.0005924160261836
700142469.1855028,2.34821145812115,-2.208509540905307,0.4416606405957838,0.0061986776369219,0.0082781069697891,-0.0005943171411163
700185669.1855028,2.3513082772375795,-2.204368114837293,0.4413630067874519,0.0061885956640608,0.0082875952325512,-0.0005962180587718
700228869.1855028,2.3544000506215514,-2.200221947746348,0.441064422571011,0.0061784947092524,0.0082970710537578,-0.0005981187724331
700272069.1855028,2.35748676878534,-2.1960710458648887,0.4407648880501392,0.0061683747855001,0.0083065343868416,-0.0006000192753717
700315269.1855431,2.360568422247751,-2.191915415448623,0.4404644033318828,0.0061582359059486,0.0083159851852212,-0.0006019195608484
700358469.1855431,2.3636450015342025,-2.18775506277655,0.4401629685266593,0.0061480780838836,0.0083254234023007,-0.0006038196221124
700401669.1855431,2.3667164971767867,-2.183589994150973,0.4398605837482659,0.0061379013327322,0.0083348489914702,-0.0006057194524023
700444869.1855431,2.369782899714348,-2.179420215897502,0.4395572491138813,0.0061277056660633,0.0083442619061059,-0.0006076190449455
700488069.1855431,2.3728441996925485,-2.175245734365062,0.439252964744075,0.0061174910975879,0.0083536620995707,-0.0006095183929587
700531269.1855431,2.3759003876639424,-2.171066555925901,0.4389477307628098,0.0061072576411591,0.0083630495252139,-0.0006114174896475
700574469.1855431,2.378951454188047,-2.166882686975596,0.4386415472974491,0.0060970053107728,0.0083724241363719,-0.000613316328207
700617669.1855431,2.381997389831412,-2.162694133933056,0.4383344144787601,0.0060867341205679,0.0083817858863679,-0.0006152149018218
700660869.1855834,2.385038185167692,-2.158500903240536,0.4380263324409222,0.0060764440848265,0.0083911347285126,-0.0006171132036655
700704069.1855834,2.38807383077772,-2.154303001363636,0.4377173013215293,0.0060661352179743,0.0084004706161041,-0.0006190112269016
700747269.1855834,2.3911043172495754,-2.1501004347913097,0.4374073212615963,0.0060558075345813,0.008409793502428,-0.000620908964683
700790469.1855834,2.394129635178663,-2.145893210035873,0.4370963924055646,0.0060454610493619,0.0084191033407576,-0.0006228064101525
700833669.1855834,2.3971497751677764,-2.1416813336330067,0.4367845149013066,0.0060350957771753,0.0084284000843542,-0.0006247035564426
700876869.1855834,2.400164727827177,-2.137464812141766,0.4364716889001314,0.0060247117330261,0.0084376836864669,-0.0006266003966756
700920069.1855834,2.4031744837746665,-2.133243652144581,0.4361579145567884,0.0060143089320649,0.0084469541003331,-0.0006284969239641
700963269.1855834,2.406179033635655,-2.1290178602472696,0.4358431920294739,0.0060038873895887,0.008456211279178,-0.0006303931314106
701006469.1855834,2.409178368043243,-2.124787443079037,0.4355275214798353,0.0059934471210414,0.0084654551762155,-0.0006322890121081
701049669.1856235,2.412172477638284,-2.120552407292487,0.4352109030729763,0.0059829881420147,0.0084746857446475,-0.0006341845591396
701092869.1856235,2.415161353069467,-2.1163127595636246,0.4348933369774609,0.0059725104682486,0.0084839029376643,-0.0006360797655791
701136069.1856235,2.418144984993389,-2.1120685065918616,0.4345748233653183,0.005962014115632,0.0084931067084447,-0.0006379746244909
701179269.1856235,2.421123364074629,-2.107819655100025,0.4342553624120487,0.005951499100204,0.008502297010156,-0.0006398691289303
701222469.1856235,2.424096480985821,-2.1035662118343583,0.4339349542966259,0.0059409654381544,0.008511473795954,-0.0006417632719435
701265669.1856235,2.427064326407736,-2.099308183564532,0.4336135992015033,0.0059304131458244,0.0085206370189833,-0.0006436570465678
701308869.1856235,2.430026891029347,-2.095045577083647,0.433291297312618,0.0059198422397085,0.008529786632377,-0.0006455504458317
701352069.1856235,2.4329841655479187,-2.0907783992082405,0.4329680488193949,0.0059092527364548,0.0085389225892571,-0.0006474434627554
701395269.1856235,2.4359361406690776,-2.0865066567782904,0.4326438539147508,0.0058986446528665,0.0085480448427346,-0.0006493360903505
701438469.1856235,2.438882807106889,-2.082230356657222,0.4323187127950984,0.0058880180059036,0.0085571533459098,-0.0006512283216205
701481669.1856235,2.4418241555839377,-2.077949505731916,0.4319926256603518,0.0058773728126836,0.0085662480518722,-0.000653120149561
701524869.1856235,2.4447601768314087,-2.0736641109127056,0.4316655927139278,0.0058667090904837,0.0085753289137012,-0.0006550115671597
701568069.1856235,2.447690861589164,-2.0693741791333915,0.4313376141627524,0.0058560268567424,0.0085843958844663,-0.0006569025673968
701611269.1856235,2.4506162006058263,-2.065079717351239,0.4310086902172623,0.005845326129061,0.0085934489172277,-0.000658793143245
701654469.1856637,2.453536184638861,-2.060780732546989,0.4306788210914111,0.0058346069252056,0.0086024879650369,-0.0006606832876701
701697669.1856637,2.4564508044546565,-2.056477231724855,0.4303480070026702,0.0058238692631094,0.0086115129809376,-0.0006625729936305
701740869.1856637,2.4593600508286126,-2.052169221912531,0.430016248172033,0.0058131131608747,0.0086205239179664,-0.0006644622540784
701784069.1856637,2.462263914545219,-2.047856710161196,0.4296835448240199,0.0058023386367752,0.0086295207291543,-0.0006663510619589
701827269.1856637,2.4651623863981493,-2.043539703545512,0.4293498971866785,0.0057915457092583,0.0086385033675281,-0.000668239410211
701870469.1856637,2.468055457190343,-2.039218209163632,0.429015305491591,0.0057807343969478,0.0086474717861117,-0.0006701272917675
701913669.1856637,2.470943117734097,-2.0348922341371947,0.4286797699738725,0.0057699047186463,0.0086564259379286,-0.0006720146995552
701956869.1856637,2.4738253588511543,-2.030561785611327,0.4283432908721772,0.0057590566933379,0.0086653657760039,-0.0006739016264949
702000069.1856637,2.4767021713727946,-2.026226870754643,0.4280058684286999,0.0057481903401905,0.0086742912533669,-0.0006757880655015
702043269.1856637,2.4795735461399304,-2.021887496759238,0.4276675028891794,0.0057373056785589,0.0086832023230545,-0.0006776740094845
702086469.1856637,2.482439474003196,-2.0175436708406917,0.4273281945029016,0.0057264027279867,0.0086920989381146,-0.0006795594513474
