-853690160.828, 10116511.9297791, 116548.7392759, 1671225.2433243, -1080313.1081184393, -873.0299151056132, -823453.2714364637
-853690160.819, 10106856.0411682, 116540.8719473, 1663868.7623367, -1040116.272781901, -853.676000061409, -792080.4457884833
-853690160.81, 10097789.8299255, 116533.3731022, 1656967.7900124, -1076367.21107324, -895.9320530918347, -818988.2520666152
-853690160.803, 10089634.1308899, 116526.5370054, 1650764.923748, -1111734.6573205104, -942.743421682325, -844929.2514446843
-853690160.792, 10077778.7312012, 116516.4038267, 1641759.1585693, -1070543.7534249893, -919.0428258179079, -812996.5439368077
-853690160.785, 10070364.3361816, 116509.9942284, 1636130.9805298, -1015329.0556137, -886.8755099700631, -770214.1704814315
-853690160.774, 10059502.8014221, 116500.4400616, 1627895.2983589, -1063777.671043375, -941.958930748709, -806253.990550364
-853690160.766, 10050152.6304321, 116492.0970707, 1620812.2077637, -1066385.2347950262, -958.9016888138111, -807412.8220909891
-853690160.756, 10040307.8600769, 116483.1798248, 1613361.8621712, -1022128.0795037457, -932.413594933726, -773160.3888989823
-853690160.747, 10030732.142334, 116474.3811626, 1606122.1190834, -1056176.22199245, -977.2237764624863, -798147.196927374
-853690160.738, 10021296.6810303, 116465.5897903, 1598995.2072983, -1064823.8975976815, -996.9974795269883, -804024.5449039325
-853690160.731, 10013694.9254456, 116458.4291706, 1593257.7002945, -1077013.4152267163, -1021.2305272545758, -812512.6584191144
-853690160.723, 10005141.4952087, 116450.271347, 1586807.5290451, -1076939.5304631446, -1033.569693604598, -811764.2828528731
-853690160.715, 9996463.9864197, 116441.8921452, 1580269.5422173, -1056595.8206229578, -1027.2340581951526, -795693.5497413236
-853690160.706, 9987179.2826233, 116432.8082867, 1573280.6757164, -1063730.0142919656, -1044.6725029448448, -800479.4812033934
-853690160.7, 9980508.0514221, 116426.2220726, 1568262.3614502, -1068445.0201649512, -1061.6205711562238, -803339.794826414
-853690160.692, 9972221.1175537, 116417.9456635, 1562033.9676208, -1008734.2071046998, -1011.6639914813296, -757921.392612118
-853690160.685, 9965376.9324951, 116411.0470066, 1556893.4610519, -1019079.754158471, -1032.5991806742404, -765105.052169763
-853690160.678, 9957953.9417114, 116403.4892149, 1551322.4523811, -1086149.6780796656, -1110.5575907274213, -814901.7383728428
-853690160.672, 9951257.1037292, 116396.6098776, 1546299.8262711, -1089670.2819163965, -1125.2718324833709, -816922.7776816048
-853690160.665, 9943788.2155762, 116388.8606682, 1540702.4469223, -1012771.8841623134, -1055.147215551652, -758753.9550247239
-853690160.658, 9937078.2384338, 116381.8377552, 1535677.2267609, -1064449.0775035934, -1119.4558222186201, -796885.3775438875
-853690160.652, 9929950.365387, 116374.3077297, 1530342.9278946, -1074621.2416797148, -1140.160657838405, -803942.1249317449
-853690160.645, 9923108.1499939, 116367.0156536, 1525225.9699364, -992128.7651239462, -1062.2181166178525, -741693.3613050082
-853690160.638, 9916060.62323, 116359.4367409, 1519959.2661057, -1039577.2914648799, -1124.6934192581286, -776513.420087573
-853690160.63, 9907514.5054932, 116350.1452684, 1513578.2797432, -1066883.2806457574, -1164.9486843148816, -796311.626481953
-853690160.623, 9900057.3892822, 116341.9625273, 1508014.6030998, -1063143.3460514413, -1171.9768379845477, -792899.6891040272
-853690160.616, 9892630.5635376, 116333.7376642, 1502477.7324905, -1063690.8794938552, -1185.963496576436, -792561.307722354
-853690160.607, 9883038.3007202, 116322.9870729, 1495333.5964775, -1040440.482386252, -1171.2802874911606, -774609.8241990553
-853690160.599, 9874942.992981, 116313.8258066, 1489309.3041649, -1035802.5096249175, -1177.2075426726979, -770534.0442651833
-853690160.592, 9867501.2778931, 116305.3289766, 1483775.5968361, -1022893.4695061261, -1176.009253190938, -760179.1675506262
-853690160.582, 9857553.8449707, 116293.8336964, 1476386.288765, -1064660.5518444395, -1235.5825700248029, -790573.9416295761
-853690160.575, 9849402.091156, 116284.3241224, 1470335.8714943, -1103561.576482952, -1292.535793418552, -818800.5565348039
-853690160.568, 9842103.9187012, 116275.7381201, 1464923.0333405, -1032282.7138823214, -1220.5865036916593, -765270.4289891372
-853690160.56, 9833917.742157, 116266.0151968, 1458856.7347794, -1007137.0716967438, -1201.5552110125373, -746031.6925615619
-853690160.552, 9825989.8129578, 116256.513341, 1452986.5910034, -1033706.9672663397, -1244.1406665050122, -765105.3749480166
-853690160.545, 9818412.1524353, 116247.3531046, 1447380.1651001, -1034841.8106839285, -1255.5946969193324, -765382.0637044113
-853690160.538, 9811501.9674072, 116238.9349422, 1442271.1975861, -1020618.8647780421, -1249.8456186122464, -754220.3626805929
-853690160.53, 9803102.8840637, 116228.6054382, 1436066.8704491, -1039384.9349147702, -1282.9289234955882, -767524.2559348432
-853690160.523, 9795911.208252, 116219.6910267, 1430758.3447266, -1018978.0367932372, -1269.0793969550193, -751821.9353599274
-853690160.515, 9787818.2280884, 116209.5692654, 1424789.5521736, -1026372.3191845543, -1289.5997865514848, -756646.2906624653
-853690160.507, 9779489.217865, 116199.0573883, 1418651.9795418, -1025059.1962331105, -1299.2550044844547, -755047.0943658358
-853690160.499, 9771417.2477112, 116188.7811432, 1412708.7741814, -1034125.2375186513, -1321.531286977422, -761122.8078765998
-853690160.492, 9763977.3540955, 116179.2344379, 1407235.1483116, -1061209.6566784102, -1367.0856957355052, -780446.1719395776
-853690160.485, 9756560.3772888, 116169.6420269, 1401782.5754089, -1041485.8092677644, -1351.9524511872585, -765367.0351497639
-853690160.478, 9749396.616333, 116160.3071861, 1396520.0565338, -1048574.2605035511, -1374.3863272260573, -769837.9152726203
